compound_id,SMILES
CHEMBL26138,CN1C(=O)N(C)C2=C([N](C)C(=N2)\C=C\C3=CC(=CC=C3)Cl)C1=O
ZINC3809416,CN1C(=O)N(C)C2=C([N](C)C(=N2)\C=C\C3=CC(=CC=C3)Cl)C1=O
CHEMBL323556,CC1CNCCN1[S+]([O-])(=O)C2=C3C=CN=CC3=CC=C2
Z4349680036,O=C(Cc1cc(Cl)c2c(c1)OCO2)Nc1ccccc1CN1CCNC1=O
ZINC149270694,CNC(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=CC=C(C=C3)N4CCNCC4
CHEMBL2311740,CC(C)(C)NC(=O)[C@H](N(C(=O)C1=CC=CO1)C2=CC=C(C=C2)C(C)(C)C)C3=CN=CC=C3
ZINC140482,CC1=C(CCNC(=O)C2=CC=CC=C2F)C3=C([NH]1)C=CC=C3
CHEMBL1697771,OC(=O)C(CC/1=C/C(=O)NC2=CC=CC=C12)NC(=O)C3=CC=C(Cl)C=C3
ZINC1188,FC(F)(F)c1cc(ccc1Cl)NC(=O)Nc2ccc(Cl)cc2
CHEMBL1981438,FC(F)(F)c1cc(ccc1Cl)NC(=O)Nc2ccc(Cl)cc2
CHEMBL2063743,FC1=C(NC(=O)C2=C(Cl)C(=CC=C2)C3(CC3)C#N)C=C(OC4=NC5=C(C=C4)N=C(NC(=O)C6CC6)S5)C=C1
CHEMBL541388,Cl.O=S(=O)(c2cccc1cnccc12)N3CCCNCC3
CHEMBL42126,COC1=C(OC2CCCC2)C=C(C=C1)C(=O)NC3=C(Cl)C=NC=C3Cl
CHEMBL1083385,O=S(=O)(O)O.Clc1ccccc1[C@H](N2CCc3sccc3C2)C(=O)OC
CHEMBL525998,CC1=C(Cl)C=C2N(CCC2=C1)C(=O)NC3=C4C=CC=CC4=NC=C3
ZINC3929486,N#C/C(=C1/SC[C@H](S1)c2ccc(Cl)cc2Cl)n3ccnc3
CHEMBL1201155,O=C(O)CCC(=O)O.CN1CCN(CC1)C3=Nc4ccccc4Oc2ccc(Cl)cc23
