trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,lambda1_metaweight
259,1.3223068179630557,PRUNED,0:00:01.282213,0.00024034244377578657,13,28,47,38,0.6035724301360922
260,0.3199715478455319,PRUNED,0:00:01.345441,0.006359676212515503,27,29,49,32,0.5565015350992933
261,0.26177717785201365,PRUNED,0:00:15.136460,0.004318720060865295,4,31,50,33,0.5255213285872139
262,0.0037781103271505227,COMPLETE,0:01:01.155997,0.004279765368175095,8,31,48,33,0.5946531312492148
263,0.2844950024466388,PRUNED,0:00:05.204383,0.008048103726461036,9,33,46,32,0.5824262876990453
264,1.326921216830486,PRUNED,0:00:01.813743,0.00016601000915449936,9,33,47,31,0.597767051476578
265,0.31876800794471133,PRUNED,0:00:02.572970,0.008076200724144509,13,30,47,32,1.4027977546017147
266,0.00421231510725468,COMPLETE,0:00:36.491733,0.003003105633513522,14,42,48,33,0.5410094332343833
267,0.6647305708695082,PRUNED,0:00:00.851514,0.0029226777556261864,21,47,45,33,0.5579751100052731
268,0.2114597228827023,PRUNED,0:00:11.337845,0.0037957757984223273,13,36,48,35,0.5362284258665493
269,0.9631860728227495,PRUNED,0:00:01.284256,0.011906560909513442,14,49,48,35,1.3254114024219468
270,0.294010648561292,PRUNED,0:00:05.467259,0.0028751689966546624,9,36,33,35,1.3986652915488007
271,0.28314385339524945,PRUNED,0:00:05.926441,0.00295798399954146,8,47,33,34,1.3625365326185106
272,0.6415673110072744,PRUNED,0:00:00.841987,0.006389822139216918,22,22,50,34,1.365009818182236
273,0.7483587956150218,PRUNED,0:00:00.747918,0.006435812033848941,25,48,49,60,1.4488909071094611
274,0.7028756910095028,PRUNED,0:00:01.027784,0.0046654001904506215,18,48,49,23,1.4365220073687714
275,0.20941749096862852,PRUNED,0:00:09.137306,0.004542089368330446,17,25,39,37,0.6086164894144872
276,0.6354276189552154,PRUNED,0:00:01.269186,0.0035421270659927433,14,42,38,59,0.6084935069041965
277,0.3348099679905332,PRUNED,0:00:04.153357,0.004777010614824061,8,50,34,30,1.332094496440118
278,0.6946263127133292,PRUNED,0:00:01.007743,0.0019626884224185496,18,28,34,29,0.5755874517204601
279,1.7859964549541474,PRUNED,0:00:00.269368,2.3549154768417033e-05,108,50,39,33,1.3327970750580769
280,0.31615339323855113,PRUNED,0:00:03.256664,0.004398598736178154,10,46,45,32,1.3818292234454903
281,0.19262752057569713,PRUNED,0:00:19.536634,0.004051257997291744,13,29,35,37,1.3802156786271547
282,0.20610842266178858,PRUNED,0:00:11.731570,0.009292331956666428,14,25,35,40,0.548487857499931
283,0.6343423003087874,PRUNED,0:00:00.674414,0.00828499194017528,28,44,51,40,0.893144232130955
284,0.005002992671279747,COMPLETE,0:00:41.983783,0.0035252043048735466,12,37,35,31,1.4975113560814666
285,1.7874645675931657,PRUNED,0:00:00.291379,1.2038220475852136e-06,92,38,35,31,0.5639344087904324
286,0.2843331958540538,PRUNED,0:00:03.976597,0.006783421619283714,13,29,37,37,0.589390964201185
