trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
689,0.0043891422056124,COMPLETE,0:01:17.128547,0.002040305935964887,4,155,151,33,0.13125892751042742,1.1489643022326756
690,0.358801445432319,PRUNED,0:00:07.155711,0.0018382585210827312,4,22,151,33,0.2422814130447876,1.1564722716378635
691,2.4624629350487197,PRUNED,0:00:01.309159,3.2728723963635362e-06,8,23,152,27,0.23535072416489108,1.1646890130179717
692,1.6114017111343026,PRUNED,0:00:00.386790,0.0016918117946986058,40,34,155,33,0.19665493460808267,1.0371643495281366
693,1.2375039313778733,PRUNED,0:00:00.666570,0.0016318371752224838,18,23,155,49,0.20201412029806426,1.2163204806531989
694,1.0949925868800192,PRUNED,0:00:00.696103,0.0022811809432925394,18,23,163,50,0.10027494750304591,1.2134957538406501
695,0.2301306955657105,PRUNED,0:00:53.395662,0.005459381856640426,4,139,151,41,0.18721398580784554,1.1481752159670442
696,0.31173899207218936,PRUNED,0:00:15.369432,0.0056070723867073,4,141,152,41,0.1642860122885301,1.1450343656482835
697,0.2811177129003844,PRUNED,0:00:15.241569,0.004226104158329406,8,142,152,41,0.1712048837671864,1.163620626323899
698,0.2845588438143757,PRUNED,0:00:10.174609,0.005915623003900939,11,140,151,40,0.1671837176709162,1.1382810699444943
699,0.44836535241439757,PRUNED,0:00:02.004157,0.005962727111750554,12,144,154,41,0.16240530626908561,1.1408395448891058
700,0.5386348035700947,PRUNED,0:00:02.416906,0.00438607455928428,9,141,158,39,0.17935534818614238,1.2211526807811945
701,0.004853097853407314,COMPLETE,0:00:40.292118,0.0038232843759386397,8,139,152,42,0.1366187385846361,1.1292937660932443
702,0.27769407758494274,PRUNED,0:00:08.200481,0.0035788481036452646,16,143,154,43,0.13185475358638074,1.1912090166645175
703,0.004462082610141154,COMPLETE,0:00:21.913294,0.003790084672461589,17,138,156,46,0.10055879970805319,1.1921425378651829
704,0.25893370995945686,PRUNED,0:00:10.546236,0.003479383635496164,16,151,160,46,0.12930371717571917,1.2414456026456981
705,0.00550699647794426,COMPLETE,0:00:21.885383,0.0037746855002825158,17,136,160,45,0.13181770793092962,1.2510007623053692
706,1.1772806036351906,PRUNED,0:00:00.653548,0.002395401162844067,20,138,158,46,0.22332980814039033,1.217279802142408
707,1.5858373310830858,PRUNED,0:00:00.635827,0.00371063518007438,20,136,159,44,0.8041055687389769,1.229826221376793
708,0.3599425271284162,PRUNED,0:00:02.733433,0.003827741862416273,13,152,161,46,0.1998297552745474,1.247007189536967
709,0.4314145045845132,PRUNED,0:00:01.771816,0.004863969984722828,13,153,148,45,0.10168612452417625,0.9458736106925381
710,3.0566011855476782,PRUNED,0:00:00.211528,0.0015172655790543707,158,149,161,38,0.73963629709329,1.2555211766142431
