trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
113,0.004761090923371355,COMPLETE,0:00:30.155575,0.0020887644766084614,12,80,95,32,0.38649373006492044,0.6352699635739006
114,0.3808799051508612,PRUNED,0:00:12.365086,0.0008927975336469244,11,64,94,33,0.3830830869716292,0.6145296751341385
115,0.0052711199955894975,COMPLETE,0:00:28.934911,0.002290727018164582,12,86,71,32,0.3802901912542161,1.262407097922073
116,1.61422393344104,PRUNED,0:00:02.366109,0.03434703751875961,10,79,95,32,0.3882376707957749,0.6277893802221961
117,0.004881545282019913,COMPLETE,0:00:32.778740,0.0022914042119967786,12,85,69,32,0.25529510341072126,1.535036384870678
118,0.005000626812624329,COMPLETE,0:00:21.201556,0.0031328758743419736,21,86,68,29,0.2623997896153938,1.5393071205046396
119,0.006038860547267115,COMPLETE,0:01:08.244663,0.007437992652018546,5,87,35,30,0.2581555446989028,1.5503791672530005
120,0.004770047824707612,COMPLETE,0:01:08.101774,0.0033601815269182034,5,96,70,29,0.2697256367384906,1.7494447899410512
121,0.0045466841735203765,COMPLETE,0:01:00.456933,0.007748385250677955,6,38,70,28,0.2764106115293641,1.5301616781563603
122,0.36734408560974396,PRUNED,0:00:31.229447,0.007676583207084649,4,86,70,38,0.26677955255961583,1.5695202593715576
123,0.31989964022981177,PRUNED,0:00:49.299376,0.007908428215396118,5,88,92,30,0.261708275560269,1.5519438637929273
124,0.39369492231291314,PRUNED,0:00:22.514511,0.0025553090977904393,4,83,98,37,0.5674959908915589,1.5641463556209834
125,0.3250453332977847,PRUNED,0:00:36.365893,0.007866483202424312,7,73,77,38,0.2763249951993254,1.7536089780046553
126,0.3505539090119767,PRUNED,0:00:35.256795,0.008168984295637036,5,95,77,38,0.5882391229317081,1.6194820495525617
127,0.00470561651082373,COMPLETE,0:00:18.668878,0.006591490139894978,23,98,77,28,0.2882758377985042,1.7451420401103772
128,0.00526911573023129,COMPLETE,0:00:16.709798,0.0015435601418649428,23,96,76,27,0.20730882942632245,1.7373683179488
129,0.29932002506034094,PRUNED,0:00:14.469015,0.005201938259813905,24,76,77,28,0.28857590483133244,1.7387723219980902
130,0.3591858343214028,PRUNED,0:00:06.006913,0.003660246754306433,23,98,92,27,0.41203615197857607,1.6230548854402975
131,0.004689423032085147,COMPLETE,0:00:11.176293,0.005393927999499181,39,89,75,28,0.3080071826025436,1.8835597256051975
132,0.0046210855680133365,COMPLETE,0:00:11.461830,0.006451551712464517,38,94,83,28,0.296813753119777,1.6119328034447373
133,0.004876921417855485,COMPLETE,0:00:11.545256,0.003809128974421288,38,92,56,28,0.30812706651373867,1.608159833020049
134,0.6375991127600795,PRUNED,0:00:01.057190,0.004733734619454523,39,91,75,29,0.3071549374987758,1.5950434451351077
135,0.5760284847556016,PRUNED,0:00:01.048359,0.005453472746360825,38,92,56,27,0.30430871946251203,1.5049781002696319
136,0.4046727761936684,PRUNED,0:00:02.642810,0.0054963644440744796,31,138,79,41,0.47847504026848053,1.8752168981962178
137,1.6292438444991906,PRUNED,0:00:00.461185,0.005283430020652848,31,108,82,145,0.47888614411126273,1.5058097734869984
138,0.00585865155120899,COMPLETE,0:00:12.891811,0.005561914520337116,34,76,57,26,0.35905183626811843,1.5047017806083292
139,1.8828484901567786,PRUNED,0:00:00.470510,0.0009594456372568225,29,76,82,23,0.3543661669132173,1.6862709613844178
140,1.8227663934230804,PRUNED,0:00:00.485033,0.0009918306455303167,28,113,84,41,0.35997828144879623,1.4498164355184562
141,0.78215984489387,PRUNED,0:00:01.223977,0.01272525777883955,21,114,98,41,0.20712248239146513,1.4060409523567998
142,0.3468957386463354,PRUNED,0:00:07.013503,0.0036448538309158023,21,20,98,35,0.41331468969647017,1.8896735982281743
143,1.5827280587533064,PRUNED,0:00:00.984208,0.0014024708032602516,13,103,108,34,0.6626784394969654,0.7733581721533952
144,0.3345036928048018,PRUNED,0:00:14.208596,0.004102736622969912,12,104,108,34,0.404200136445661,0.726388431365503
145,0.3736748557951715,PRUNED,0:00:05.018589,0.0031057279103830983,22,65,166,25,0.4149512398147743,1.5926468908859563
146,1.827551264722808,PRUNED,0:00:00.325461,0.002901712395909023,50,109,65,26,0.42408285846588795,1.8746216459060259
147,0.004998694667126802,COMPLETE,0:00:11.870462,0.003975944709919653,35,20,59,22,0.15146603701571,1.602223138196456
148,0.00492368464282324,COMPLETE,0:00:18.333869,0.003922687871870855,20,81,59,22,0.3248925416409816,0.5531844967929176
149,0.004711885474756926,COMPLETE,0:00:11.921259,0.004050654823069734,36,104,73,22,0.14640164892696078,1.8424773773041858
150,0.005069339927271465,COMPLETE,0:00:18.354876,0.006519250998179726,21,100,72,22,0.143736282001456,1.6482838067891656
151,1.5551061574150533,PRUNED,0:00:00.271739,0.003704699183700978,70,97,72,22,0.1490381081142379,1.8206148934715793
152,0.004550838658519249,COMPLETE,0:00:11.913761,0.006347279777945654,35,99,72,20,0.1603039560552334,1.8283361753821814
153,1.5267475840118196,PRUNED,0:00:00.432122,0.007058919238347605,33,103,74,20,0.5307835914745744,1.6800244604414758
154,0.005044495651209035,COMPLETE,0:00:12.298526,0.0064260149496139386,35,100,80,23,0.33832904775727135,1.6328115291697114
155,2.4838404856937033,PRUNED,0:00:00.393688,3.535033422497518e-05,42,99,89,23,0.20571976332719202,1.6309567197193486
156,0.7653309602962866,PRUNED,0:00:01.503025,0.010331128078637442,17,140,61,125,0.341084077450281,1.4544653489226107
157,2.4827261482769587,PRUNED,0:00:00.536269,0.0001024268107984226,28,132,144,162,0.3266233522748148,1.6443323928947782
158,0.004405439162859894,COMPLETE,0:00:25.251328,0.002310773298242743,15,60,82,32,0.3799958841710212,0.5458467297391675
159,0.004311249355394301,COMPLETE,0:00:27.293166,0.0022909484912769762,13,82,81,31,0.22260164308910824,1.4151096889998243
160,0.004793063835815978,COMPLETE,0:00:29.809845,0.0022700381543157523,13,81,81,32,0.23181146542775163,1.3918564609036495
161,2.0799934607891997,PRUNED,0:00:00.356245,0.006575824720772547,49,105,81,20,0.7962964513025245,1.8510682562819978
162,0.004492355025288638,COMPLETE,0:00:15.956793,0.002591807642773495,26,99,83,31,0.18024981127697454,1.7780396356909107
163,0.006209284834919703,COMPLETE,0:00:17.381729,0.011435245281969885,25,94,79,24,0.1923023056968034,1.7056562129100643
164,0.2860651640729471,PRUNED,0:00:16.731848,0.012064500475587502,18,99,67,31,0.22912664329305077,1.7068305233386007
165,0.5411793490950491,PRUNED,0:00:01.051513,0.01234761126356913,42,94,73,31,0.2266442438028701,1.803319959543108
166,1.6976307680209477,PRUNED,0:00:00.204306,0.013433216644872618,252,24,67,31,0.18295476365268948,1.7927193954931178
167,0.005311771769434502,COMPLETE,0:00:10.634272,0.009169227931595655,55,34,64,25,0.191883734789222,1.76816050543045
168,1.6541441494768316,PRUNED,0:00:00.558425,0.002532092749428899,54,90,85,26,0.21816513565413082,1.7690615791529596
169,0.29867810755968094,PRUNED,0:00:11.748432,0.009635939580103592,26,36,64,26,0.2307216863873938,1.7025723258911554
170,0.2705574653258449,PRUNED,0:00:13.465049,0.00872513638511073,26,95,78,36,0.1804588169354279,1.8474419040283387
171,1.5387796404686842,PRUNED,0:00:00.508285,0.0015500469492415651,27,94,78,36,0.23580266323145266,1.7135816274181932
172,0.005475266786034334,COMPLETE,0:00:29.666438,0.0026593567052309794,12,98,83,33,0.15730571921935904,1.8669001950523962
173,0.005002657978822704,COMPLETE,0:00:25.164888,0.002758605663609324,15,99,83,32,0.12449186841086719,1.8399775435767407
174,0.5168195506382101,PRUNED,0:00:02.500326,0.01848427969288548,14,108,84,27,0.12427307475493315,1.841617922460412
175,0.004724809565229993,COMPLETE,0:00:27.147753,0.0023246104075582853,14,108,83,34,0.12487662505611383,1.8972939974751393
176,1.5613033691508658,PRUNED,0:00:00.350378,0.0027991033698779905,40,58,75,20,0.2841136268291304,1.8940326891964665
177,0.005677170380211413,COMPLETE,0:00:29.519424,0.005058808260796437,12,97,88,35,0.1554112103383312,1.3963644139137783
178,0.5358023204248631,PRUNED,0:00:03.542720,0.0023054079981358546,10,62,88,32,0.12943056015579907,1.8237838019389372
179,0.004740950003169173,COMPLETE,0:00:32.672205,0.002248227712801411,10,69,89,34,0.1628674242665548,1.8474600827554926
180,0.0048799984003101565,COMPLETE,0:00:38.604321,0.0028295066388764507,9,52,81,36,0.1596802022879865,1.3472698677129147
181,0.004428776851556891,COMPLETE,0:00:41.995698,0.0046847883733885445,8,51,84,36,0.16908692685617904,0.47648278563343144
182,0.005434854991900084,COMPLETE,0:00:33.336836,0.004658712520987849,10,51,83,28,0.2764879471533235,1.3367929432178476
183,0.29329220333301964,PRUNED,0:00:21.436009,0.004611118621745616,9,50,70,28,0.2873345475979941,1.532668728050195
184,0.004320673611493221,COMPLETE,0:00:43.416146,0.0016118193335132474,8,50,87,28,0.27961033282579856,0.48130197701614985
185,0.004613642293045489,COMPLETE,0:00:20.411404,0.0050600401592355996,19,70,92,29,0.2940565521474656,0.5070836950365505
186,0.004859559852269749,COMPLETE,0:00:41.585590,0.0016191402532718465,8,67,91,28,0.27499093527958546,0.5199942827452992
187,1.4871524299435344,PRUNED,0:00:00.692610,0.001656753660717225,20,56,92,29,0.2870704762887369,1.5216237065141063
188,0.004577946159413597,COMPLETE,0:00:20.042026,0.0031658605003254984,18,52,74,40,0.2627841522758198,1.8098264312390797
189,0.0053861118898395005,COMPLETE,0:00:19.648267,0.00328621587273538,19,89,70,40,0.10161359009616741,1.5534416334797834
190,1.2889699846124039,PRUNED,0:00:00.663335,0.001320361092075557,19,89,70,40,0.10156011660169104,1.8945200906910795
191,1.5564090937677055,PRUNED,0:00:00.479016,0.0018537753458007199,30,105,77,20,0.30826389675690363,0.39949692912583773
192,0.2952278074441534,PRUNED,0:00:12.047875,0.0018345681300764353,18,105,75,20,0.25167833333918543,1.5669699217732214
193,0.004848348345498705,COMPLETE,0:00:22.611648,0.003202703041999335,17,111,74,24,0.25052055430777875,1.7861725884314663
194,0.3625549033515213,PRUNED,0:00:03.153216,0.003370036478531525,23,60,86,24,0.35691726670455604,0.5843958745382757
195,0.004418720619054512,COMPLETE,0:01:17.928633,0.003303476435901212,4,68,87,24,0.2628285144898832,0.4535901719858378
196,0.31962469067329013,PRUNED,0:00:32.999168,0.006263508736417211,4,63,91,24,0.2520443932977923,0.4640842851990048
197,0.004148336980565748,COMPLETE,0:00:52.819611,0.0032528401177973057,6,68,91,25,0.1901103508553424,0.47224099640323314
198,0.004389486861977729,COMPLETE,0:01:00.421315,0.003195725975587121,5,46,91,25,0.21008938781090655,0.5345532760983362
199,0.005360766926250945,COMPLETE,0:01:15.921895,0.004351863829604266,4,46,74,25,0.20725595562460875,0.49289581265482707
200,0.004697551360108978,COMPLETE,0:00:55.216924,0.004515694853760078,6,72,91,26,0.2009166633935504,0.5018411526997852
201,0.004334870715291788,COMPLETE,0:01:02.968422,0.0012120362101049485,5,47,91,29,0.31963787333323,0.48580513800753067
202,0.0046953875741603205,COMPLETE,0:01:17.066528,0.0011799081332310019,4,42,87,26,0.31956404957840834,0.5000888660397207
203,0.005189912178953895,COMPLETE,0:00:15.964695,0.00470099950020997,24,44,85,46,0.19569128967483873,0.4531926274208584
204,0.34549850110321556,PRUNED,0:00:17.713231,0.0014039349489525395,4,54,87,30,0.3180445540406406,0.5109851375785641
205,0.004455641546436546,COMPLETE,0:01:14.181377,0.0012304745461017394,4,54,95,25,0.20674628161526656,0.5035497028021405
206,0.005125320390420912,COMPLETE,0:00:39.383992,0.0020008590484486125,8,69,94,26,0.198943030040152,0.3857386901752453
207,0.004354927757960626,COMPLETE,0:01:14.754120,0.0011736537245241434,4,47,96,26,0.1959664109065356,0.4226418323821358
208,2.26050595208159,PRUNED,0:00:00.860514,3.066693376584059e-06,14,47,88,25,0.21252257734669916,0.4222195449964883
209,0.2505327292319573,PRUNED,0:00:35.053102,0.0018863429886977023,8,39,94,38,0.3725919036626085,0.5926903396245398
210,0.28825981600693396,PRUNED,0:00:17.560573,0.0020173750151164763,9,65,96,26,0.24478298524311504,0.3399664769245494
211,0.00438244118129291,COMPLETE,0:01:17.825191,0.0023747597598418064,4,42,95,20,0.23936925952353907,0.3481813559424903
212,0.004329491566569795,COMPLETE,0:00:33.443966,0.0020438746075750985,10,41,95,20,0.24492082297136789,0.33233303075467235
213,0.0050475078401351365,COMPLETE,0:00:40.067857,0.002099751387260932,8,39,97,20,0.35098116418760006,0.40892325749528874
214,0.3508191588525526,PRUNED,0:00:07.210380,0.0020521456716720127,9,39,101,20,0.362742756632824,0.4014859820235385
215,0.004932391097324181,COMPLETE,0:00:24.099187,0.0026653855642823163,15,57,95,29,0.1795651170987859,0.44364158013221183
216,0.0047548597862225395,COMPLETE,0:00:23.296755,0.003050339715699422,15,58,94,30,0.2650952165338264,0.5817272505594583
217,0.34250373735722867,PRUNED,0:00:05.438946,0.003036346695111758,15,56,92,30,0.2551869853453272,0.5449159595944102
