trial_number,value,state,duration,lr,batch_size
557,0.11044196425821663,PRUNED,0:00:11.898310,0.003689367969637617,12
558,2.437629914560983,PRUNED,0:00:00.410965,0.003563328433544728,203
559,1.5279461291590424,PRUNED,0:00:01.238620,0.001413362199530261,33
560,1.4537933585657314,PRUNED,0:00:01.282053,0.0015812238743857614,33
561,0.9803762888027863,PRUNED,0:00:01.261414,0.00488306901430617,33
562,0.811447270203454,PRUNED,0:00:01.591599,0.004693507291166864,26
563,0.7559073261110638,PRUNED,0:00:01.734465,0.00464236620774187,23
564,0.9961702729081415,PRUNED,0:00:01.705027,0.0025604400697284975,23
565,0.935741177299107,PRUNED,0:00:01.780919,0.002621730048364386,22
566,0.8996326949761575,PRUNED,0:00:01.863253,0.002823698109535936,21
567,1.197629071625289,PRUNED,0:00:01.065618,0.003628992428718926,43
568,0.002829346615255567,COMPLETE,0:00:27.800211,0.0037191533617520764,14
569,1.8925524628564212,PRUNED,0:00:00.411040,0.009174670765946044,196
570,0.3119296440637734,PRUNED,0:00:05.350927,0.022559103549119393,14
571,0.3011609391694567,PRUNED,0:00:05.420726,0.015580590661631396,14
572,0.10880055353344684,PRUNED,0:00:10.856651,0.006113212043882765,14
573,1.7306418284563951,PRUNED,0:00:00.501899,0.006182444360175347,123
574,0.8587196574308708,PRUNED,0:00:01.399250,0.0048926659326233805,28
575,0.33171145644293254,PRUNED,0:00:04.836266,0.017478732794435285,14
576,0.3106425314991161,PRUNED,0:00:04.626681,0.022178449907882387,16
577,0.31375572738352786,PRUNED,0:00:02.982195,0.016290790143451545,28
578,0.741015381877895,PRUNED,0:00:01.556172,0.006205141674526273,26
579,0.22948395245767367,PRUNED,0:00:04.066270,0.009509378435911493,19
580,0.31019662812762305,PRUNED,0:00:03.925484,0.009027140431176844,20
581,3.814039726429675,PRUNED,0:00:01.759925,1.3632584973597944e-06,21
582,0.3091827963026018,PRUNED,0:00:03.867552,0.008987100394065101,20
583,0.27521069061626263,PRUNED,0:00:03.934109,0.00847641089529933,20
584,0.10199438380675578,PRUNED,0:00:11.622745,0.004685412291544879,20
585,0.9729798507665119,PRUNED,0:00:01.105006,0.0049021944881776965,37
586,0.8616619345037949,PRUNED,0:00:01.419910,0.004529580689774382,30
587,0.7375257522021637,PRUNED,0:00:01.261732,0.007391742033836852,30
588,3.7190942925198347,PRUNED,0:00:04.398635,7.533678065352764e-06,8
589,0.2106445849795275,PRUNED,0:00:03.052476,0.0074015138105381646,27
590,3.7448575732027094,PRUNED,0:00:04.131406,5.808849273172402e-06,8
591,1.057590211172057,PRUNED,0:00:03.801051,0.0008752535193532501,9
592,0.20846798390242433,PRUNED,0:00:08.083626,0.0029215469630080853,9
593,0.12174516918391666,PRUNED,0:00:11.792645,0.003189244968716124,9
594,0.12238613241506079,PRUNED,0:00:10.874555,0.0030850652303123405,9
595,0.16842144657622535,PRUNED,0:00:06.757670,0.0031876292764007426,11
596,0.11355552862182813,PRUNED,0:00:15.433549,0.0028624115837072223,9
597,0.2375203952371052,PRUNED,0:00:05.606380,0.0030676382938060014,13
598,0.9019098250826952,PRUNED,0:00:02.574580,0.0023797123629498347,15
599,0.7345660173695935,PRUNED,0:00:02.274924,0.003938310506509853,16
600,0.10932294114110555,PRUNED,0:00:18.115381,0.003833542092611314,8
601,1.6031320248589371,PRUNED,0:00:04.455302,0.0003369461955327502,8
602,1.156897148088027,PRUNED,0:00:01.336509,0.0018738570575916687,25
603,1.2093626939540614,PRUNED,0:00:01.673053,0.0018234898967349885,25
604,0.11470757677373158,PRUNED,0:00:17.494343,0.005124502377448492,7
605,0.8244829994752059,PRUNED,0:00:01.674619,0.004726092802819071,24
606,0.7472139278801347,PRUNED,0:00:01.516049,0.005164953371088088,24
607,0.9451583101421841,PRUNED,0:00:01.188735,0.005228184701900613,36
608,0.8261690951927364,PRUNED,0:00:01.211901,0.005603303709040222,34
