trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
520,0.2911659331057467,PRUNED,0:00:06.851502,0.0017218748950418735,8,3,2,0.658047424591233
521,0.004107519646400207,COMPLETE,0:00:29.073739,0.0030747261320492945,24,3,2,0.7611898852157528
522,0.2906746777040618,PRUNED,0:00:02.499205,0.003073358919796929,23,3,2,0.6996853772697778
523,0.2478634464516215,PRUNED,0:00:04.294270,0.0032201539580343627,22,3,2,0.7100160485907923
524,0.29052639827132226,PRUNED,0:00:02.511319,0.003004148421460696,23,3,2,0.669481425353791
525,0.22328014400671925,PRUNED,0:00:08.040534,0.004030831300992658,19,3,2,0.6697750229411726
526,0.00556659089058207,COMPLETE,0:00:43.463904,0.0039729380473310805,19,3,2,0.6696998907814139
527,0.47985232551002976,PRUNED,0:00:02.262492,0.004228520651580594,16,1,2,0.716070270879899
528,0.005194031410175938,COMPLETE,0:00:40.158547,0.003745121013052518,16,3,2,0.721417484739177
529,0.20192743285526685,PRUNED,0:00:24.716617,0.0043502974966880955,16,3,2,0.7611987593259331
530,0.21031514266088827,PRUNED,0:00:23.152155,0.0041480921392682965,16,3,2,0.7591314245526749
531,0.2216811009815761,PRUNED,0:00:30.942933,0.004094745422405031,17,3,2,0.7604883651578225
532,1.0033172634632692,PRUNED,0:00:00.759182,0.0016309944930435719,28,3,2,0.7603609820115377
533,0.2636386408512272,PRUNED,0:00:06.325837,0.005535407549272698,16,3,2,1.4425406596714647
534,0.21184845921737608,PRUNED,0:00:15.631412,0.002844734383870806,15,3,2,1.4297426407287575
535,0.3567814116380108,PRUNED,0:00:03.883027,0.010821951937357228,16,3,2,0.7797417031472803
536,0.8141806172697168,PRUNED,0:00:01.007764,0.002743183246064643,26,3,2,0.7422208193773613
537,0.7796157222557691,PRUNED,0:00:02.199360,0.0016126778738804876,14,3,2,1.3146682019569293
538,1.7701019048690796,PRUNED,0:00:00.306486,0.0003757446343825803,190,3,2,0.7547969838886829
539,0.2975442739280723,PRUNED,0:00:03.889683,0.003637952955539825,19,3,2,0.7284202346232469
540,0.7994363831919293,PRUNED,0:00:00.760136,0.0027725977374874248,30,3,2,1.4298019433559868
541,0.2911963570289887,PRUNED,0:00:02.141664,0.007582684626938279,31,3,2,0.7650308842471846
542,0.8315890517813214,PRUNED,0:00:00.849903,0.008150764648381527,38,3,2,0.7655590138092995
543,0.8094975569031455,PRUNED,0:00:00.795770,0.005234622027297126,39,3,2,0.8232596922558966
544,0.0040026336124687,COMPLETE,0:00:27.119083,0.004068056306308995,31,3,2,0.7872411581560879
545,0.33949327766895293,PRUNED,0:00:01.419909,0.003914200372607838,30,3,2,0.7836304165962296
546,1.7712604174247155,PRUNED,0:00:00.806577,4.7247195693871024e-05,26,3,2,0.7885290653441448
547,1.0308001227066166,PRUNED,0:00:00.474373,0.003423475576574886,53,3,2,1.3523272210685893
548,0.20615270238828987,PRUNED,0:00:13.793438,0.0033089140512674825,22,3,2,1.2588638041779687
549,0.19260794766692083,PRUNED,0:00:22.376870,0.0034452261623774513,24,3,2,1.2528141841027476
550,0.3392683482063668,PRUNED,0:00:01.984777,0.0056315898564072596,23,3,2,1.3924321349789257
551,0.23640022267188346,PRUNED,0:00:06.551673,0.005705044892858098,23,3,2,1.262507444899993
552,0.004343996668413883,COMPLETE,0:00:30.317773,0.003238884177553702,24,3,2,0.7306444285348201
553,0.3446895078895918,PRUNED,0:00:02.514525,0.0032326045323364666,21,3,2,1.3223762124296896
554,0.8342490183613288,PRUNED,0:00:01.194225,0.0026983552230752873,34,3,2,0.735934885163988
