trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order
562,1.1293041479328405,PRUNED,0:00:00.496858,0.0030853380757513292,206,3,2
563,1.1127881817920233,PRUNED,0:00:00.530272,0.0032771634223011117,204,3,2
564,1.1272412256527973,PRUNED,0:00:00.485848,0.0031636831996874628,203,3,2
565,0.05473416811890072,PRUNED,0:00:04.092547,0.02190996766900446,42,3,2
566,0.06586041843989454,PRUNED,0:00:07.429548,0.01576528401990864,14,3,2
567,0.6058313924882371,PRUNED,0:00:00.832108,0.014408789145846769,160,3,3
568,0.062366358565789315,PRUNED,0:00:16.056793,0.016149726840324653,14,3,3
569,1.1517233824132516,PRUNED,0:00:01.433610,0.00043183508119764983,43,3,2
570,0.07016850773440084,PRUNED,0:00:08.398817,0.01672121734078355,13,3,2
571,0.5769862884638506,PRUNED,0:00:00.526112,0.01653348004864928,174,3,2
572,0.6282841934233295,PRUNED,0:00:00.500640,0.01723768635026999,194,3,2
573,0.7119040014792462,PRUNED,0:00:00.485463,0.008927142824319032,194,3,2
574,0.05176459852806177,PRUNED,0:00:11.814037,0.00962001996529335,13,3,2
575,1.1306166615947428,PRUNED,0:00:03.620766,0.00014270603681427796,14,3,2
576,0.1522596998583703,PRUNED,0:00:03.056329,0.032510845036871176,36,2,2
577,0.06889229313366943,PRUNED,0:00:04.213360,0.005670896745954213,30,2,3
578,0.8037191399253241,PRUNED,0:00:00.645540,0.007437098421718191,187,3,3
